호선,역번호,역명,hour,승차_Weekday,승차_Saturday,승차_Sunday,하차_Weekday,하차_Saturday,하차_Sunday,환승_Weekday,환승_Saturday,환승_Sunday,interval_Weekday,interval_Saturday,interval_Sunday,capacity,상선_Weekday,상선_Saturday,상선_Sunday,하선_Weekday,하선_Saturday,하선_Sunday
6,638,보문,20-21시간대,224.74897119341563,181.68,137.51923076923077,395.57370517928285,282.7647058823529,271.1764705882353,808.3033706111852,565.0536255456452,481.12669348397895,8.0,8.0,8.0,1256,18.35,13.45,11.65,32.7,33.3,25.95
6,638,보문,21-22시간대,216.9802371541502,161.23076923076923,123.92307692307692,371.0593220338983,335.8541666666667,302.7450980392157,766.237275934823,604.7644459620982,502.2843341699404,8.0,8.0,8.0,1256,21.75,16.45,13.6,36.0,38.35,30.05
6,638,보문,22-23시간대,160.7764705882353,128.11764705882354,96.96078431372548,384.6356589147287,344.22641509433964,282.9,710.6921598084482,574.6641558063318,447.1815155727352,8.0,8.0,8.0,1256,17.1,15.7,10.15,36.75,32.45,25.95
6,638,보문,23-24시간대,85.33590733590734,69.13461538461539,56.04081632653061,258.9073359073359,317.96153846153845,226.77777777777777,448.5616670515868,470.94967903660404,332.941047789926,8.0,8.0,8.0,1256,10.55,8.9,6.800000000000001,21.9,35.5,23.6
6,638,보문,24시이후,23.280575539568346,0.5555555555555556,0.18518518518518517,107.29166666666667,56.45161290322581,32.275862068965516,170.14045673891945,69.3561726762051,38.213948129482596,8.0,8.0,8.0,1256,8.65,0.0,0.0,10.399999999999999,0.0,0.0
6,639,안암,06시이전,43.71784232365145,55.31372549019608,41.92156862745098,53.10629921259842,31.807692307692307,25.28846153846154,0.0,0.0,0.0,8.0,8.0,8.0,1256,15.6,11.2,6.0,5.8,3.8,2.3
6,639,안암,06-07시간대,114.85477178423237,80.47058823529412,58.666666666666664,290.21774193548384,172.18867924528303,98.25,0.0,0.0,0.0,8.0,8.0,8.0,1256,23.45,14.8,8.149999999999999,9.95,8.3,6.55
6,639,안암,07-08시간대,355.96356275303646,160.92307692307693,126.6078431372549,693.0283400809717,153.70454545454547,91.46938775510205,0.0,0.0,0.0,4.0,8.0,8.0,1256,53.7,20.9,12.35,13.850000000000001,8.55,6.45
6,639,안암,08-09시간대,468.260162601626,254.07843137254903,157.92307692307693,1800.1346153846155,286.4583333333333,107.45098039215686,0.0,0.0,0.0,4.0,8.0,8.0,1256,82.4,36.15,20.0,20.7,15.9,9.25
6,639,안암,09-10시간대,396.0931174089069,288.11538461538464,194.3125,1461.987854251012,332.5098039215686,166.32,0.0,0.0,0.0,8.0,8.0,8.0,1256,62.400000000000006,41.400000000000006,28.15,12.8,14.55,11.95
6,639,안암,10-11시간대,450.60887096774195,332.59183673469386,226.72549019607843,1263.0692307692307,321.15686274509807,212.05769230769232,0.0,0.0,0.0,8.0,8.0,8.0,1256,35.3,40.849999999999994,31.0,16.3,13.5,14.95
6,639,안암,11-12시간대,562.8677042801556,433.8510638297872,282.62745098039215,740.3667953667954,343.0,229.76,0.0,0.0,0.0,8.0,8.0,8.0,1256,28.95,43.3,32.15,22.4,16.5,10.85
6,639,안암,12-13시간대,574.1019607843137,543.1020408163265,357.11538461538464,665.2274509803922,401.0217391304348,316.25,0.0,0.0,0.0,8.0,8.0,8.0,1256,31.8,45.75,32.35,21.15,22.0,16.4
6,639,안암,13-14시간대,603.7722007722008,548.6730769230769,385.65384615384613,898.1930501930502,445.81632653061223,393.76,0.0,0.0,0.0,8.0,8.0,8.0,1256,31.05,45.650000000000006,35.650000000000006,22.15,25.95,18.7
6,639,안암,14-15시간대,670.2559055118111,498.3269230769231,375.13461538461536,575.2886178861788,391.71153846153845,356.4,0.0,0.0,0.0,8.0,8.0,8.0,1256,27.799999999999997,41.15,33.9,23.1,26.049999999999997,17.75
6,639,안암,15-16시간대,987.2961538461539,590.1666666666666,410.75,532.4666666666667,401.57142857142856,327.6730769230769,0.0,0.0,0.0,8.0,8.0,8.0,1256,35.75,40.75,29.55,28.5,29.1,21.55
6,639,안암,16-17시간대,1290.1653846153847,598.9,391.63461538461536,468.46215139442234,432.75555555555553,399.52941176470586,0.0,0.0,0.0,8.0,8.0,8.0,1256,36.05,43.25,27.35,39.45,34.0,24.549999999999997
6,639,안암,17-18시간대,1781.0485829959514,582.6458333333334,418.02,554.476,527.7254901960785,430.1730769230769,0.0,0.0,0.0,8.0,8.0,8.0,1256,39.4,39.95,25.5,61.449999999999996,39.95,29.35
6,639,안암,18-19시간대,1452.003984063745,450.24528301886795,328.3137254901961,795.896,512.44,424.34615384615387,0.0,0.0,0.0,4.0,8.0,8.0,1256,36.9,30.75,20.45,86.45,37.0,27.200000000000003
6,639,안암,19-20시간대,723.8365758754863,326.20754716981133,252.34615384615384,571.7943548387096,355.0576923076923,348.5769230769231,0.0,0.0,0.0,4.0,8.0,8.0,1256,21.9,16.65,13.95,50.9,29.45,24.35
6,639,안암,20-21시간대,614.934362934363,315.18,239.30769230769232,334.4920634920635,318.28846153846155,341.46153846153845,0.0,0.0,0.0,8.0,8.0,8.0,1256,17.8,12.25,11.2,30.849999999999998,30.15,22.85
6,639,안암,21-22시간대,653.23828125,354.47058823529414,268.4313725490196,346.5296442687747,377.3529411764706,411.75,0.0,0.0,0.0,8.0,8.0,8.0,1256,21.5,16.299999999999997,13.1,33.849999999999994,34.5,25.45
6,639,안암,22-23시간대,599.7686274509804,391.28,279.5882352941176,362.71259842519686,362.5686274509804,373.0,0.0,0.0,0.0,8.0,8.0,8.0,1256,16.9,15.25,9.85,34.95,29.549999999999997,21.9
6,639,안암,23-24시간대,338.0862745098039,223.40384615384616,164.92307692307693,244.23046875,349.75471698113205,289.0192307692308,0.0,0.0,0.0,8.0,8.0,8.0,1256,10.15,8.55,6.6,20.450000000000003,33.150000000000006,20.2
6,639,안암,24시이후,77.74666666666667,0.11538461538461539,0.0,112.96598639455782,149.39285714285714,89.26666666666667,0.0,0.0,0.0,8.0,8.0,8.0,1256,8.75,0.0,0.0,9.350000000000001,0.0,0.0
6,640,고려대,06시이전,130.80566801619435,113.13725490196079,68.96078431372548,32.23015873015873,12.098039215686274,7.705882352941177,0.0,0.0,0.0,8.0,8.0,8.0,1256,19.6,14.3,7.5,6.2,4.2,2.6
6,640,고려대,06-07시간대,292.1417004048583,160.3653846153846,96.90196078431373,158.02380952380952,100.62264150943396,71.15384615384616,0.0,0.0,0.0,8.0,8.0,8.0,1256,24.200000000000003,14.55,7.95,9.2,7.199999999999999,5.75
6,640,고려대,07-08시간대,919.6801619433198,242.7058823529412,149.20408163265307,451.41295546558706,114.3921568627451,77.41176470588235,0.0,0.0,0.0,4.0,8.0,8.0,1256,55.65,20.55,11.600000000000001,11.6,7.05,5.55
6,640,고려대,08-09시간대,1117.9473684210527,362.6470588235294,225.75,1209.7246963562752,265.0,123.09803921568627,0.0,0.0,0.0,4.0,8.0,8.0,1256,84.65,36.3,20.35,17.25,12.6,9.05
6,640,고려대,09-10시간대,533.0122950819672,377.74,292.2692307692308,544.7795918367347,281.66,152.64,0.0,0.0,0.0,8.0,8.0,8.0,1256,63.45,39.15,25.9,11.45,12.7,11.5
6,640,고려대,10-11시간대,315.1372549019608,358.9591836734694,290.88461538461536,394.8692307692308,249.41509433962264,213.36,0.0,0.0,0.0,8.0,8.0,8.0,1256,35.75,37.25,27.85,12.95,11.850000000000001,14.2
6,640,고려대,11-12시간대,323.7,380.1372549019608,285.03846153846155,328.8076923076923,261.62264150943395,175.2,0.0,0.0,0.0,8.0,8.0,8.0,1256,26.799999999999997,39.15,29.15,19.9,14.399999999999999,10.100000000000001
6,640,고려대,12-13시간대,345.2355212355212,455.8627450980392,369.11764705882354,294.61240310077517,326.07547169811323,201.0408163265306,0.0,0.0,0.0,8.0,8.0,8.0,1256,28.65,41.2,29.45,19.25,18.55,14.100000000000001
6,640,고려대,13-14시간대,414.57307692307694,442.45283018867923,343.62745098039215,394.5923076923077,310.54716981132077,244.32692307692307,0.0,0.0,0.0,8.0,8.0,8.0,1256,27.75,41.85,31.950000000000003,19.65,23.5,17.1
6,640,고려대,14-15시간대,337.67193675889325,420.8679245283019,319.11538461538464,301.82745098039214,303.36538461538464,229.32692307692307,0.0,0.0,0.0,8.0,8.0,8.0,1256,23.5,35.8,30.35,21.3,23.7,16.5
6,640,고려대,15-16시간대,446.7992277992278,411.47169811320754,318.61538461538464,346.408560311284,319.37735849056605,253.8653846153846,0.0,0.0,0.0,8.0,8.0,8.0,1256,25.85,32.95,25.200000000000003,26.85,26.4,19.8
6,640,고려대,16-17시간대,659.6653846153846,463.50943396226415,300.7,417.5234375,359.71153846153845,276.7692307692308,0.0,0.0,0.0,8.0,8.0,8.0,1256,26.55,35.5,23.0,37.0,31.45,22.65
6,640,고려대,17-18시간대,829.3684210526316,432.37735849056605,279.4313725490196,524.5748031496063,424.0769230769231,310.78846153846155,0.0,0.0,0.0,8.0,8.0,8.0,1256,27.55,32.6,19.65,58.6,35.55,26.75
6,640,고려대,18-19시간대,860.1666666666666,306.8076923076923,217.8846153846154,979.6585365853658,393.7,320.86538461538464,0.0,0.0,0.0,4.0,8.0,8.0,1256,27.75,25.65,17.6,80.55,33.8,24.5
6,640,고려대,19-20시간대,372.4153225806452,202.0943396226415,165.3846153846154,728.9053497942386,335.52941176470586,295.9019607843137,0.0,0.0,0.0,4.0,8.0,8.0,1256,15.85,13.350000000000001,11.8,50.35,26.4,22.049999999999997
6,640,고려대,20-21시간대,280.1666666666667,176.75471698113208,131.40384615384616,400.56626506024094,303.62264150943395,291.54901960784315,0.0,0.0,0.0,8.0,8.0,8.0,1256,12.15,9.350000000000001,9.0,29.0,27.700000000000003,20.35
6,640,고려대,21-22시간대,310.2316602316602,167.9056603773585,123.48076923076923,387.76666666666665,352.8775510204082,332.0192307692308,0.0,0.0,0.0,8.0,8.0,8.0,1256,14.850000000000001,12.399999999999999,10.25,31.799999999999997,31.450000000000003,22.65
6,640,고려대,22-23시간대,236.12062256809338,150.28846153846155,107.47058823529412,371.7431906614786,359.8076923076923,322.1730769230769,0.0,0.0,0.0,8.0,8.0,8.0,1256,10.75,10.05,7.300000000000001,32.3,26.200000000000003,19.0
